#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       135.000000       -4.715540       -8.429852       -6.944073       -2.228532        1.485804        0.112651
       136.000000       -4.695161       -8.391985       -6.822746       -2.127585        1.591271        0.131110
       137.000000       -4.607823       -8.324593       -6.753097       -2.145275        1.571507        0.059265
       138.000000       -4.587336       -8.310994       -6.711331       -2.123995        1.600748        0.064939
       139.000000       -4.587223       -8.310805       -6.711232       -2.124009        1.600676        0.064944
       140.000000       -3.852575       -7.271119       -5.958937       -2.106362        1.312121        0.011463
       141.000000       -3.677697       -7.038635       -5.752881       -2.075184        1.283597        0.009357
       142.000000       -1.064895       -1.874706       -2.647530       -1.582635       -0.777388        0.004439
       143.000000        0.781552        6.087705        2.456065        1.674513       -3.628102       -0.014033
       144.000000        0.785880        6.091932        2.460104        1.674224       -3.628232       -0.014046
       145.000000        0.938478        5.990623        2.678850        1.740371       -3.305965       -0.013248
       146.000000        0.938487        5.991033        2.679072        1.740584       -3.306173       -0.013228
       147.000000        1.033534        3.315884        2.052654        1.019120       -1.263164       -0.002335
       148.000000        1.074379        6.028887        2.831689        1.757310       -3.196348       -0.039734
       149.000000        1.074798        6.029345        2.831991        1.757193       -3.196489       -0.039797
       150.000000        1.163955        6.151912        2.957747        1.793792       -3.191395       -0.009781
       151.000000        1.703613        6.809638        3.463150        1.759537       -3.342768       -0.019887
       152.000000        1.703716        6.810843        3.463670        1.759954       -3.343487       -0.019808
       153.000000        1.715745        6.996811        3.537485        1.821740       -3.450151       -0.016639
