#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
       135.000000       -4.700454       -8.419563       -6.935645       -2.235191        1.484338        0.132834
       136.000000       -4.683875       -8.365770       -6.825621       -2.141746        1.537322        0.127560
       137.000000       -4.603469       -8.305729       -6.737401       -2.133932        1.556977        0.056000
       138.000000       -4.573590       -8.277330       -6.650682       -2.077093        1.624054        0.065707
       139.000000       -4.573361       -8.277043       -6.650096       -2.076735        1.624344        0.065905
       140.000000       -3.825819       -7.196482       -5.936367       -2.110548        1.259698        0.009496
       141.000000       -3.676431       -7.054630       -5.756410       -2.079979        1.294645        0.008939
       142.000000       -0.367700        4.359243        1.078729        1.446429       -3.280555       -0.004515
       143.000000        1.033816        6.276298        2.854790        1.820974       -3.420701       -0.011940
       144.000000        1.033875        6.276034        2.854758        1.820884       -3.420468       -0.011900
       145.000000        1.051284        3.330411        2.064023        1.012738       -1.266378       -0.002147
       146.000000        1.106031        6.438578        2.775690        1.669658       -3.663380       -0.024265
       147.000000        1.110605        6.441512        2.779995        1.669390       -3.661931       -0.024432
       148.000000        1.163313        6.218245        2.977508        1.814195       -3.257379       -0.012902
       149.000000        1.163563        6.218194        2.977576        1.814013       -3.257229       -0.012889
       150.000000        1.199288        6.226276        2.983058        1.783770       -3.241380       -0.010759
       151.000000        1.732743        7.022210        3.552775        1.820033       -3.460418       -0.015708
       152.000000        1.766518        7.063068        3.605157        1.838639       -3.458176       -0.013585
       153.000000        1.766667        7.063221        3.605148        1.838481       -3.458329       -0.013587
